timestamp,aoa_deg,algo,mode
2018-03-09T17:02:49.826698,42.0,MUSIC,FPGA
2018-03-09T17:02:50.470139,41.0,MUSIC,FPGA
2018-03-09T17:02:51.130202,41.0,MUSIC,FPGA
2018-03-09T17:02:51.789677,42.0,MUSIC,FPGA
2018-03-09T17:02:52.449935,42.0,MUSIC,FPGA
2018-03-09T17:02:53.110023,42.0,MUSIC,FPGA
2018-03-09T17:02:53.767962,42.0,MUSIC,FPGA
2018-03-09T17:02:54.423340,40.0,MUSIC,FPGA
2018-03-09T17:02:55.087217,37.0,MUSIC,FPGA
2018-03-09T17:02:55.745189,38.0,MUSIC,FPGA
2018-03-09T17:02:56.402871,34.0,MUSIC,FPGA
2018-03-09T17:02:57.062797,117.0,MUSIC,FPGA
2018-03-09T17:02:57.724395,54.0,MUSIC,FPGA
2018-03-09T17:02:58.385220,76.0,MUSIC,FPGA
2018-03-09T17:02:59.041826,78.0,MUSIC,FPGA
2018-03-09T17:02:59.701165,71.0,MUSIC,FPGA
2018-03-09T17:03:00.359257,73.0,MUSIC,FPGA
2018-03-09T17:03:01.021971,65.0,MUSIC,FPGA
2018-03-09T17:03:01.681072,66.0,MUSIC,FPGA
2018-03-09T17:03:02.339503,79.0,MUSIC,FPGA
2018-03-09T17:03:03.001367,81.0,MUSIC,FPGA
2018-03-09T17:03:03.656210,89.0,MUSIC,FPGA
2018-03-09T17:03:04.319913,107.0,MUSIC,FPGA
2018-03-09T17:03:04.977249,93.0,MUSIC,FPGA
2018-03-09T17:03:05.639597,103.0,MUSIC,FPGA
2018-03-09T17:03:06.298929,100.0,MUSIC,FPGA
2018-03-09T17:03:06.958468,99.0,MUSIC,FPGA
2018-03-09T17:03:07.617138,98.0,MUSIC,FPGA
2018-03-09T17:03:08.276071,106.0,MUSIC,FPGA
2018-03-09T17:03:08.936500,109.0,MUSIC,FPGA
2018-03-09T17:03:09.595204,100.0,MUSIC,FPGA
2018-03-09T17:03:10.252978,92.0,MUSIC,FPGA
2018-03-09T17:03:10.918046,93.0,MUSIC,FPGA
2018-03-09T17:03:11.577075,109.0,MUSIC,FPGA
2018-03-09T17:03:12.235094,109.0,MUSIC,FPGA
2018-03-09T17:03:12.890543,110.0,MUSIC,FPGA
2018-03-09T17:03:13.553229,115.0,MUSIC,FPGA
2018-03-09T17:03:14.213637,92.0,MUSIC,FPGA
2018-03-09T17:03:14.874589,94.0,MUSIC,FPGA
2018-03-09T17:03:15.530744,94.0,MUSIC,FPGA
2018-03-09T17:03:16.192617,108.0,MUSIC,FPGA
2018-03-09T17:03:16.850288,110.0,MUSIC,FPGA
2018-03-09T17:03:17.525749,109.0,MUSIC,FPGA
2018-03-09T17:03:18.168065,113.0,MUSIC,FPGA
2018-03-09T17:03:18.829386,111.0,MUSIC,FPGA
2018-03-09T17:03:19.490002,110.0,MUSIC,FPGA
2018-03-09T17:03:20.148116,111.0,MUSIC,FPGA
2018-03-09T17:03:20.806300,106.0,MUSIC,FPGA
2018-03-09T17:03:21.470146,95.0,MUSIC,FPGA
2018-03-09T17:03:22.127738,93.0,MUSIC,FPGA
2018-03-09T17:03:22.789471,100.0,MUSIC,FPGA
2018-03-09T17:03:23.444723,100.0,MUSIC,FPGA
2018-03-09T17:03:24.105392,106.0,MUSIC,FPGA
2018-03-09T17:03:24.762180,111.0,MUSIC,FPGA
2018-03-09T17:03:25.421731,110.0,MUSIC,FPGA
2018-03-09T17:03:26.086279,98.0,MUSIC,FPGA
2018-03-09T17:03:26.741329,95.0,MUSIC,FPGA
2018-03-09T17:03:27.401004,110.0,MUSIC,FPGA
2018-03-09T17:03:28.062028,109.0,MUSIC,FPGA
2018-03-09T17:03:28.722549,108.0,MUSIC,FPGA
2018-03-09T17:03:29.378494,110.0,MUSIC,FPGA
2018-03-09T17:03:30.038049,108.0,MUSIC,FPGA
2018-03-09T17:03:30.699293,96.0,MUSIC,FPGA
2018-03-09T17:03:31.357958,79.0,MUSIC,FPGA
2018-03-09T17:03:32.019788,87.0,MUSIC,FPGA
2018-03-09T17:03:32.678083,95.0,MUSIC,FPGA
2018-03-09T17:03:33.334598,107.0,MUSIC,FPGA
2018-03-09T17:03:33.997046,113.0,MUSIC,FPGA
2018-03-09T17:03:34.655364,107.0,MUSIC,FPGA
2018-03-09T17:03:35.316551,112.0,MUSIC,FPGA
2018-03-09T17:03:35.973819,92.0,MUSIC,FPGA
2018-03-09T17:03:36.632663,97.0,MUSIC,FPGA
2018-03-09T17:03:37.291838,94.0,MUSIC,FPGA
2018-03-09T17:03:37.954049,110.0,MUSIC,FPGA
2018-03-09T17:03:38.614720,110.0,MUSIC,FPGA
2018-03-09T17:03:39.272099,110.0,MUSIC,FPGA
2018-03-09T17:03:39.933397,110.0,MUSIC,FPGA
2018-03-09T17:03:40.592015,106.0,MUSIC,FPGA
2018-03-09T17:03:41.250865,111.0,MUSIC,FPGA
2018-03-09T17:03:41.909580,111.0,MUSIC,FPGA
2018-03-09T17:03:42.573792,108.0,MUSIC,FPGA
2018-03-09T17:03:43.226042,103.0,MUSIC,FPGA
2018-03-09T17:03:43.889730,110.0,MUSIC,FPGA
2018-03-09T17:03:44.545853,110.0,MUSIC,FPGA
2018-03-09T17:03:45.205951,110.0,MUSIC,FPGA
2018-03-09T17:03:45.868456,105.0,MUSIC,FPGA
2018-03-09T17:03:46.524486,95.0,MUSIC,FPGA
2018-03-09T17:03:47.186963,98.0,MUSIC,FPGA
2018-03-09T17:03:47.845444,92.0,MUSIC,FPGA
2018-03-09T17:03:48.503701,95.0,MUSIC,FPGA
2018-03-09T17:03:49.165579,98.0,MUSIC,FPGA
2018-03-09T17:03:49.821815,105.0,MUSIC,FPGA
2018-03-09T17:03:50.484860,112.0,MUSIC,FPGA
2018-03-09T17:03:51.138832,112.0,MUSIC,FPGA
2018-03-09T17:03:51.800760,110.0,MUSIC,FPGA
2018-03-09T17:03:52.466868,108.0,MUSIC,FPGA
2018-03-09T17:03:53.121490,110.0,MUSIC,FPGA
2018-03-09T17:03:53.780304,110.0,MUSIC,FPGA
2018-03-09T17:03:54.436968,109.0,MUSIC,FPGA
2018-03-09T17:03:55.098413,110.0,MUSIC,FPGA
2018-03-09T17:03:55.756448,115.0,MUSIC,FPGA
2018-03-09T17:03:56.416906,109.0,MUSIC,FPGA
2018-03-09T17:03:57.078132,94.0,MUSIC,FPGA
2018-03-09T17:03:57.733701,107.0,MUSIC,FPGA
2018-03-09T17:03:58.398072,103.0,MUSIC,FPGA
2018-03-09T17:03:59.054512,99.0,MUSIC,FPGA
2018-03-09T17:03:59.714010,94.0,MUSIC,FPGA
2018-03-09T17:04:00.375489,95.0,MUSIC,FPGA
2018-03-09T17:04:01.034626,93.0,MUSIC,FPGA
2018-03-09T17:04:01.692243,96.0,MUSIC,FPGA
2018-03-09T17:04:02.352462,95.0,MUSIC,FPGA
2018-03-09T17:04:03.013001,94.0,MUSIC,FPGA
2018-03-09T17:04:03.670930,89.0,MUSIC,FPGA
2018-03-09T17:04:04.334738,92.0,MUSIC,FPGA
2018-03-09T17:04:04.991183,102.0,MUSIC,FPGA
2018-03-09T17:04:05.647486,111.0,MUSIC,FPGA
2018-03-09T17:04:06.309377,108.0,MUSIC,FPGA
2018-03-09T17:04:06.968536,112.0,MUSIC,FPGA
2018-03-09T17:04:07.629721,109.0,MUSIC,FPGA
