# baseband_freq_hz,power_dbfs_per_hz
-500000.0,-89.691
-499877.9,-85.491
-499755.9,-86.532
-499633.8,-84.116
-499511.7,-82.994
-499389.6,-85.294
-499267.6,-87.904
-499145.5,-84.319
-499023.4,-85.914
-498901.4,-89.764
-498779.3,-84.685
-498657.2,-79.890
-498535.2,-81.887
-498413.1,-88.436
-498291.0,-88.317
-498168.9,-89.388
-498046.9,-90.430
-497924.8,-83.470
-497802.7,-81.849
-497680.7,-83.133
-497558.6,-82.446
-497436.5,-82.615
-497314.5,-84.876
-497192.4,-86.123
-497070.3,-86.765
-496948.2,-84.776
-496826.2,-87.714
-496704.1,-90.290
-496582.0,-88.449
-496460.0,-88.315
-496337.9,-86.655
-496215.8,-82.634
-496093.8,-85.330
-495971.7,-86.692
-495849.6,-83.348
-495727.5,-84.786
-495605.5,-89.093
-495483.4,-87.183
-495361.3,-85.423
-495239.3,-83.303
-495117.2,-79.133
-494995.1,-88.189
-494873.0,-84.678
-494751.0,-89.048
-494628.9,-77.369
-494506.8,-82.090
-494384.8,-90.463
-494262.7,-85.928
-494140.6,-80.589
-494018.6,-84.371
-493896.5,-85.718
-493774.4,-89.759
-493652.3,-83.110
-493530.3,-85.413
-493408.2,-83.743
-493286.1,-81.493
-493164.1,-83.080
-493042.0,-84.847
-492919.9,-83.721
-492797.9,-86.426
-492675.8,-84.068
-492553.7,-90.380
-492431.6,-85.674
-492309.6,-78.471
-492187.5,-77.490
-492065.4,-83.956
-491943.4,-86.074
-491821.3,-84.886
-491699.2,-81.799
-491577.1,-82.626
-491455.1,-87.634
-491333.0,-86.110
-491210.9,-85.959
-491088.9,-86.842
-490966.8,-87.995
-490844.7,-84.957
-490722.7,-81.899
-490600.6,-84.804
-490478.5,-84.390
-490356.4,-84.033
-490234.4,-84.584
-490112.3,-86.799
-489990.2,-89.543
-489868.2,-81.507
-489746.1,-81.225
-489624.0,-91.774
-489502.0,-84.082
-489379.9,-87.767
-489257.8,-86.739
-489135.7,-82.464
-489013.7,-86.666
-488891.6,-85.543
-488769.5,-88.481
-488647.5,-81.218
-488525.4,-82.670
-488403.3,-74.364
-488281.2,-78.467
-488159.2,-83.698
-488037.1,-89.358
-487915.0,-82.358
-487793.0,-86.416
-487670.9,-88.394
-487548.8,-85.377
-487426.8,-88.047
-487304.7,-88.367
-487182.6,-83.479
-487060.5,-90.076
-486938.5,-80.833
-486816.4,-80.833
-486694.3,-82.341
-486572.3,-85.925
-486450.2,-85.638
-486328.1,-83.565
-486206.1,-87.565
-486084.0,-85.915
-485961.9,-86.278
-485839.8,-82.438
-485717.8,-80.057
-485595.7,-90.591
-485473.6,-83.428
-485351.6,-84.737
-485229.5,-89.472
-485107.4,-89.003
-484985.4,-89.062
-484863.3,-92.184
-484741.2,-87.365
-484619.1,-85.662
-484497.1,-89.782
-484375.0,-86.498
-484252.9,-83.103
-484130.9,-80.474
-484008.8,-85.336
-483886.7,-84.607
-483764.6,-88.080
-483642.6,-85.835
-483520.5,-86.081
-483398.4,-87.561
-483276.4,-87.457
-483154.3,-79.747
-483032.2,-86.430
-482910.2,-87.934
-482788.1,-87.167
-482666.0,-89.643
-482543.9,-90.956
-482421.9,-88.591
-482299.8,-87.660
-482177.7,-87.593
-482055.7,-84.281
-481933.6,-85.943
-481811.5,-91.680
-481689.5,-88.759
-481567.4,-90.990
-481445.3,-91.473
-481323.2,-88.737
-481201.2,-85.574
-481079.1,-85.992
-480957.0,-84.516
-480835.0,-82.321
-480712.9,-83.374
-480590.8,-84.681
-480468.8,-88.962
-480346.7,-91.992
-480224.6,-89.592
-480102.5,-88.129
-479980.5,-88.787
-479858.4,-87.175
-479736.3,-89.589
-479614.3,-90.556
-479492.2,-84.857
-479370.1,-81.080
-479248.0,-85.121
-479126.0,-87.404
-479003.9,-87.524
-478881.8,-89.550
-478759.8,-90.163
-478637.7,-84.037
-478515.6,-87.826
-478393.6,-85.374
-478271.5,-86.715
-478149.4,-84.838
-478027.3,-87.375
-477905.3,-77.560
-477783.2,-78.502
-477661.1,-81.089
-477539.1,-79.708
-477417.0,-81.499
-477294.9,-85.653
-477172.9,-86.705
-477050.8,-87.428
-476928.7,-81.997
-476806.6,-83.919
-476684.6,-82.766
-476562.5,-83.070
-476440.4,-81.822
-476318.4,-81.682
-476196.3,-83.433
-476074.2,-83.778
-475952.1,-78.037
-475830.1,-81.078
-475708.0,-81.412
-475585.9,-87.980
-475463.9,-86.062
-475341.8,-84.193
-475219.7,-88.077
-475097.7,-81.854
-474975.6,-84.037
-474853.5,-84.363
-474731.4,-90.324
-474609.4,-79.589
-474487.3,-83.882
-474365.2,-87.419
-474243.2,-85.076
-474121.1,-86.756
-473999.0,-86.717
-473877.0,-82.824
-473754.9,-84.809
-473632.8,-84.398
-473510.7,-86.066
-473388.7,-85.463
-473266.6,-89.408
-473144.5,-85.166
-473022.5,-83.105
-472900.4,-87.591
-472778.3,-85.555
-472656.2,-81.946
-472534.2,-83.742
-472412.1,-87.611
-472290.0,-88.125
-472168.0,-81.924
-472045.9,-84.859
-471923.8,-81.370
-471801.8,-85.690
-471679.7,-88.111
-471557.6,-84.224
-471435.5,-89.004
-471313.5,-79.225
-471191.4,-77.358
-471069.3,-82.679
-470947.3,-82.237
-470825.2,-84.578
-470703.1,-86.156
-470581.1,-91.527
-470459.0,-87.871
-470336.9,-79.774
-470214.8,-79.124
-470092.8,-81.837
-469970.7,-82.936
-469848.6,-90.647
-469726.6,-84.730
-469604.5,-83.477
-469482.4,-83.756
-469360.4,-81.628
-469238.3,-85.082
-469116.2,-86.254
-468994.1,-86.679
-468872.1,-88.767
-468750.0,-86.961
-468627.9,-88.695
-468505.9,-91.550
-468383.8,-89.841
