# baseband_freq_hz,power_dbfs_per_hz
-464843.8,-87.738
-464721.7,-87.717
-464599.6,-87.728
-464477.5,-87.768
-464355.5,-87.779
-464233.4,-87.795
-464111.3,-87.761
-463989.3,-87.796
-463867.2,-87.810
-463745.1,-87.823
-463623.0,-87.789
-463501.0,-87.820
-463378.9,-87.835
-463256.8,-87.855
-463134.8,-87.885
-463012.7,-87.895
-462890.6,-87.907
-462768.6,-87.914
-462646.5,-87.983
-462524.4,-87.985
-462402.3,-88.000
-462280.3,-88.043
-462158.2,-88.071
-462036.1,-88.089
-461914.1,-88.108
-461792.0,-88.122
-461669.9,-88.158
-461547.9,-88.175
-461425.8,-88.194
-461303.7,-88.259
-461181.6,-88.274
-461059.6,-88.332
-460937.5,-88.316
-460815.4,-88.356
-460693.4,-88.363
-460571.3,-88.410
-460449.2,-88.461
-460327.1,-88.473
-460205.1,-88.534
-460083.0,-88.538
-459960.9,-88.584
-459838.9,-88.635
-459716.8,-88.674
-459594.7,-88.713
-459472.7,-88.729
-459350.6,-88.691
-459228.5,-88.787
-459106.4,-88.857
-458984.4,-88.886
-458862.3,-88.905
-458740.2,-88.937
-458618.2,-89.034
-458496.1,-89.064
-458374.0,-89.107
-458252.0,-89.132
-458129.9,-89.088
-458007.8,-89.169
-457885.7,-89.241
-457763.7,-89.305
-457641.6,-89.366
-457519.5,-89.413
-457397.5,-89.494
-457275.4,-89.594
-457153.3,-89.649
-457031.2,-89.681
-456909.2,-89.734
-456787.1,-89.780
-456665.0,-89.864
-456543.0,-89.842
-456420.9,-89.915
-456298.8,-90.041
-456176.8,-90.080
-456054.7,-90.053
-455932.6,-90.044
-455810.5,-90.124
-455688.5,-90.141
-455566.4,-90.210
-455444.3,-90.254
-455322.3,-90.255
-455200.2,-90.309
-455078.1,-90.407
-454956.1,-90.444
-454834.0,-90.469
-454711.9,-90.504
-454589.8,-90.604
-454467.8,-90.595
-454345.7,-90.610
-454223.6,-90.612
-454101.6,-90.524
-453979.5,-90.517
-453857.4,-90.626
-453735.4,-90.601
-453613.3,-90.569
-453491.2,-90.528
-453369.1,-90.572
-453247.1,-90.713
-453125.0,-90.679
-453002.9,-90.654
-452880.9,-90.558
-452758.8,-90.519
-452636.7,-90.620
-452514.6,-90.593
-452392.6,-90.673
-452270.5,-90.610
-452148.4,-90.683
-452026.4,-90.690
-451904.3,-90.740
-451782.2,-90.673
-451660.2,-90.685
-451538.1,-90.648
-451416.0,-90.669
-451293.9,-90.549
-451171.9,-90.435
-451049.8,-90.297
-450927.7,-90.175
-450805.7,-90.325
-450683.6,-90.469
-450561.5,-90.547
-450439.5,-90.460
-450317.4,-90.243
-450195.3,-90.166
-450073.2,-89.963
-449951.2,-89.841
-449829.1,-89.782
-449707.0,-89.895
-449585.0,-90.063
-449462.9,-90.083
