# baseband_freq_hz,power_dbfs_per_hz
-464843.8,-83.302
-464721.7,-85.282
-464599.6,-88.831
-464477.5,-86.637
-464355.5,-84.515
-464233.4,-82.445
-464111.3,-85.250
-463989.3,-87.098
-463867.2,-87.115
-463745.1,-85.313
-463623.0,-89.037
-463501.0,-87.055
-463378.9,-83.419
-463256.8,-81.036
-463134.8,-84.968
-463012.7,-88.414
-462890.6,-89.170
-462768.6,-82.753
-462646.5,-85.115
-462524.4,-87.030
-462402.3,-86.362
-462280.3,-91.565
-462158.2,-86.349
-462036.1,-83.372
-461914.1,-89.987
-461792.0,-83.631
-461669.9,-84.909
-461547.9,-88.282
-461425.8,-85.043
-461303.7,-84.704
-461181.6,-87.312
-461059.6,-82.710
-460937.5,-83.363
-460815.4,-85.425
-460693.4,-87.769
-460571.3,-87.168
-460449.2,-81.494
-460327.1,-80.470
-460205.1,-86.667
-460083.0,-87.583
-459960.9,-84.459
-459838.9,-86.937
-459716.8,-89.427
-459594.7,-87.649
-459472.7,-85.490
-459350.6,-80.905
-459228.5,-82.535
-459106.4,-82.446
-458984.4,-83.077
-458862.3,-83.904
-458740.2,-87.295
-458618.2,-87.991
-458496.1,-85.392
-458374.0,-88.926
-458252.0,-88.426
-458129.9,-86.381
-458007.8,-89.219
-457885.7,-90.783
-457763.7,-84.638
-457641.6,-87.477
-457519.5,-82.481
-457397.5,-85.063
-457275.4,-85.558
-457153.3,-86.512
-457031.2,-85.399
-456909.2,-90.234
-456787.1,-83.369
-456665.0,-85.356
-456543.0,-82.558
-456420.9,-85.232
-456298.8,-85.700
-456176.8,-82.902
-456054.7,-85.954
-455932.6,-83.438
-455810.5,-79.162
-455688.5,-83.278
-455566.4,-80.136
-455444.3,-80.719
-455322.3,-84.225
-455200.2,-88.396
-455078.1,-88.561
-454956.1,-83.617
-454834.0,-85.488
-454711.9,-84.437
-454589.8,-82.429
-454467.8,-87.068
-454345.7,-86.819
-454223.6,-87.289
-454101.6,-83.086
-453979.5,-87.592
-453857.4,-84.461
-453735.4,-78.381
-453613.3,-79.160
-453491.2,-82.678
-453369.1,-84.039
-453247.1,-83.234
-453125.0,-83.485
-453002.9,-82.708
-452880.9,-81.586
-452758.8,-81.891
-452636.7,-83.343
-452514.6,-86.321
-452392.6,-84.118
-452270.5,-78.082
-452148.4,-81.987
-452026.4,-86.457
-451904.3,-89.651
-451782.2,-78.608
-451660.2,-78.520
-451538.1,-85.271
-451416.0,-87.551
-451293.9,-88.936
-451171.9,-84.556
-451049.8,-82.181
-450927.7,-86.740
-450805.7,-86.847
-450683.6,-86.228
-450561.5,-84.961
-450439.5,-87.700
-450317.4,-88.807
-450195.3,-86.800
-450073.2,-83.806
-449951.2,-87.304
-449829.1,-87.320
-449707.0,-83.848
-449585.0,-85.153
-449462.9,-89.463
-449340.8,-89.511
-449218.8,-86.143
-449096.7,-84.694
-448974.6,-86.844
-448852.5,-85.754
-448730.5,-84.988
-448608.4,-84.790
-448486.3,-89.345
-448364.3,-88.773
-448242.2,-82.119
-448120.1,-81.834
-447998.0,-84.797
-447876.0,-87.669
-447753.9,-82.558
-447631.8,-82.246
-447509.8,-85.468
-447387.7,-85.730
-447265.6,-82.538
-447143.6,-82.544
-447021.5,-84.209
-446899.4,-85.721
-446777.3,-82.561
-446655.3,-85.752
-446533.2,-83.192
-446411.1,-81.756
-446289.1,-82.028
-446167.0,-83.645
-446044.9,-82.893
-445922.9,-84.096
-445800.8,-76.959
-445678.7,-80.414
-445556.6,-83.087
-445434.6,-81.716
-445312.5,-83.510
-445190.4,-88.622
-445068.4,-86.357
-444946.3,-84.100
-444824.2,-84.014
-444702.1,-87.990
-444580.1,-83.183
-444458.0,-86.823
-444335.9,-81.304
-444213.9,-82.770
-444091.8,-79.619
-443969.7,-77.175
-443847.7,-76.693
-443725.6,-78.925
-443603.5,-78.316
-443481.4,-78.706
-443359.4,-77.828
-443237.3,-80.441
-443115.2,-82.935
-442993.2,-83.060
-442871.1,-84.491
-442749.0,-88.076
-442627.0,-86.039
-442504.9,-78.811
-442382.8,-78.299
-442260.7,-82.924
-442138.7,-81.053
-442016.6,-76.456
-441894.5,-76.028
-441772.5,-75.244
-441650.4,-77.112
-441528.3,-75.549
-441406.2,-78.411
-441284.2,-85.805
-441162.1,-84.541
-441040.0,-79.312
-440918.0,-80.639
-440795.9,-86.531
-440673.8,-81.576
-440551.8,-76.835
-440429.7,-79.759
-440307.6,-81.315
-440185.5,-80.888
-440063.5,-76.702
-439941.4,-80.653
-439819.3,-81.465
-439697.3,-80.986
-439575.2,-78.178
-439453.1,-83.991
-439331.1,-80.109
-439209.0,-77.195
-439086.9,-77.398
-438964.8,-81.297
-438842.8,-83.261
-438720.7,-78.032
-438598.6,-75.319
-438476.6,-79.809
-438354.5,-81.131
-438232.4,-80.425
-438110.4,-79.877
-437988.3,-78.850
-437866.2,-79.569
-437744.1,-76.476
-437622.1,-76.357
-437500.0,-82.314
-437377.9,-81.769
-437255.9,-76.799
-437133.8,-77.994
-437011.7,-83.795
-436889.6,-84.422
-436767.6,-77.534
-436645.5,-78.713
-436523.4,-80.654
-436401.4,-79.738
-436279.3,-80.487
-436157.2,-83.799
-436035.2,-87.772
-435913.1,-82.201
-435791.0,-77.925
-435668.9,-81.730
-435546.9,-87.415
-435424.8,-82.770
-435302.7,-80.840
-435180.7,-82.990
-435058.6,-81.595
-434936.5,-78.753
-434814.5,-77.975
-434692.4,-84.035
-434570.3,-85.616
-434448.2,-78.652
